train/policy_gradient_loss,eval/mean_ep_length,train/clip_range,train/loss,train/explained_variance,time/total_timesteps,train/clip_fraction,train/entropy_loss,eval/mean_reward,train/std,eval/success_rate,train/approx_kl,train/value_loss,train/learning_rate,train/n_updates,reward/env_0,pose_reward/env_0,success_rate/env_0,distance_reward/env_0,pose_reward/env_1,reward/env_1,distance_reward/env_1,success_rate/env_1,distance_reward/env_2,reward/env_2,pose_reward/env_2,success_rate/env_2,pose_reward/env_3,reward/env_3,distance_reward/env_3,success_rate/env_3,success_rate/env_4,reward/env_4,pose_reward/env_4,distance_reward/env_4,reward/env_5,distance_reward/env_5,success_rate/env_5,pose_reward/env_5,reward/env_6,distance_reward/env_6,pose_reward/env_6,success_rate/env_6,reward/env_7,distance_reward/env_7,success_rate/env_7,pose_reward/env_7
-0.0012331459645793074,102.0,0.2,236636.0,2.294778823852539e-05,24000,0.01087646484375,-9.922351175546646,-2270.6367632799997,0.99652099609375,0.0,0.00346319,500903.1544921875,0.0003,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-19835.041980619848,-2012.257618288222,0.0,-2.097711815081026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-3176.0367127559707,-26826.412678139674,-3.0470669339787886,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-3.064109277561571,-18390.414885471524,-1772.6867049676866,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-3055.327197628546,-26056.138101984492,-2.2108193688780045,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-25528.730016108842,-2967.593594141058,-1.0430752104120604,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18867.090082467636,-1.5294487386385034,0.0,-1858.3338983393026,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29196.777750415593,-2.196043102193763,-3579.948581967075,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19519.331385729765,-2.340199787868916,0.0,-1961.3966978337498
-0.0023846987758588513,102.0,0.2,183761.65625,1.3232231140136719e-05,48000,0.027008056640625,-9.893950532376767,-2396.8785176300003,0.9930062294006348,0.0,0.004396434,504305.5150878906,0.0003,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.001463765035441611,,0.2,346277.1875,-3.5762786865234375e-07,,0.01690673828125,-9.87570022791624,,0.9906325340270996,,0.0039012467,630793.2002441406,0.0003,30,-21195.86676107216,-2246.447080922776,0.0,-1.2123792559014746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-2970.359838252688,-25564.105393750662,-3.3393940390830332,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-3.099259321728737,-25624.24627534663,-2983.456786569371,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1740.0573167592227,-18162.254254523334,-1.5000589946630825,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-23165.815068940858,-2576.719926915808,-1.4309179076647085,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22908.561400333776,-1.8661226345542752,0.0,-2526.4091107544073,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25096.725929549757,-1.218742529353392,-2893.5839123956175,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20179.613040761567,-2.1806977220358514,0.0,-2073.9364757382205
-0.0015354484843555839,102.0,0.2,201501.46875,-4.76837158203125e-06,72000,0.01453857421875,-9.860678584873677,-2216.72971899,0.9885249137878418,0.0,0.0036411416,427793.2222167969,0.0003,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-20567.554704975824,-2148.425557174488,0.0,-0.5152269881475788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-2576.4572980886423,-23187.838568420633,-2.3641299814704264,0.0,,,,,,,,,,,,,,,,,,,,,,,,
